#,Name,Category 1,Category 2,Category 3,Category 4,Lv,Quality,Fire,Water,Air,Earth,Location,Dropped By
1,Spiky Fruit,(Plant),(Fruit),(Spiky Fruit),,1,40,0,0,15,0,"Altugle Herb Garden,Herb Garden-Corridor,Nearby Forest,Pasture Way,Mountain Way",
2,Blue Spiky Fruit,(Plant),(Fruit),(Spiky Fruit),,11,50,0,5,30,0,"Herb Garden-Corridor,Wayward Forest,Cliffside Path",
3,Gold Spiky Fruit,(Plant),(Fruit),(Spiky Fruit),,26,70,10,0,40,0,"Salt Desert-Lighthouse,Cloud Sea Island,Yggdrasil,Yggdrasil-Flower Alley,Yggdrasil-Flower Gate",
4,Taun,(Plant),(Medic. Herb),,,1,40,0,5,0,15,"Hidden Paradise,Altugle Herb Garden,Herb Garden-Corridor,Mountain Way","Fruit Hamster,Poison Squirrel"
5,Big Taun,(Plant),(Medic. Herb),,,5,60,0,10,0,25,Altugle Herb Garden,
6,Mutated Taun,(Plant),(Poison),(Medic. Herb),,16,70,0,10,15,10,"Hidden Paradise-Earth,Herb Garden-Corridor,The Farthest Forest",Bitter Squirrel
7,Trio Taun,(Plant),(Medic. Herb),,,20,90,0,15,0,45,"Hidden Paradise-Fire,Altugle Herb Garden,Herb Garden-Corridor,Beginning Island","Golden Rat,Green Element"
8,Baby's Breath,(Plant),(Flower),(Fermented),(Salt),1,40,0,0,15,0,"Hidden Paradise,Half-Florescent Field",Grass Element
9,Luminous Grass,(Plant),(Poison),(Medic. Herb),,16,60,0,0,30,0,"Hidden Paradise-Earth,The Farthest Forest",
10,Moss Grass,(Plant),(Oil),(Smelly),(Herb),2,45,0,0,0,10,"Hidden Paradise,Dry Valley,Dry Valley-Lake Bed,Dry Valley-Ravine Way,Mountain Way",
11,Bitter Moss Grass,(Plant),(Oil),(Smelly),(Herb),12,80,0,0,0,18,"Tunnel-Dried Waterway,Oesten Marsh-Swamp,Serenity Island,Beginning Island,Decayed Ruin Island",
12,Dried Moss Grass,(Plant),(Smelly),(Dried Plant),(Herb),18,65,23,0,0,25,"Hidden Paradise-Water,Serenity Island",
13,Taro,(Food),(Nutritional),(Root),(Grain),1,40,0,0,0,10,"Hidden Paradise,Dry Valley",Tree Element
14,Hard Taro,(Food),(Nutritional),(Root),(Grain),12,60,0,0,0,20,Dry Valley,
15,Decade Taro,(Food),(Nutritional),(Root),(Grain),20,80,0,0,0,45,"Hidden Paradise-Fire,Dry Valley-Lake Bed,Dry Valley-Ravine Way",
16,Bear's Best,(Food),(Nutritional),(Root),(Grain),30,100,0,20,0,50,"Hidden Paradise-Sky,Red Skin,War Bear",
17,Glasses Beans,(Food),(Oil),(Bean),(Grain),7,30,0,0,0,15,Riverside Way,
18,Red Devil Seed,(Plant),(Gunpowder),(Spice),,12,55,35,0,0,10,"Hallos Village,Beginning Island,Decayed Ruin Island",
19,Green Seed,(Food),(Vegetable),,,17,85,0,15,0,30,"Hidden Paradise-Water,Waterfall Island,Cloud Sea Island",
20,Salat,(Food),(Vegetable),,,5,50,0,15,0,0,"Tunnel-Old Dam,Tunnel-Dried Waterway",
21,Fresh Salat,(Food),(Vegetable),,,9,60,0,20,0,0,Cliffside Path,
22,White Salat,(Food),(Vegetable),,,22,90,0,40,0,15,"Hidden Paradise-Fire,Riesengang-Lower",
23,Stump Mushroom,(Food),(Vegetable),,,4,40,0,0,0,10,"Hidden Paradise,Dry Valley-Ravine Way,Half-Florescent Field",Tree Element
24,Smoke Mushroom,(Plant),(Gunpowder),,,7,60,10,0,0,20,Evershade Woods,
25,Darkness Shoot,(Plant),(Poison),,,14,70,0,10,0,20,Tunnel-Dried Waterway,
26,Jagged Leaf,(Plant),(Herb),,,6,50,0,0,5,15,Harvestful Forest,
27,Metal Leaf,(Plant),(Herb),,,9,40,0,0,15,10,Wayward Forest,
28,Hard Jagged,(Plant),(Dried Plant),(Herb),,15,70,0,0,15,20,"Waterfall Island,Cloud Sea Island",Mirage Element
29,Moon Leaf,(Plant),(Oil),(Medic. Herb),,7,55,0,0,20,0,"Riverside Way,Grassland Hill",
30,Bitter Leaf,(Plant),(Seasoning),,,10,65,0,0,20,5,Wayward Forest,
31,Soft Leaf,(Plant),(Seasoning),(Salt),,15,80,15,0,30,15,"Salt Desert,Salt Desert-Bones,Salt Desert-Hill",
32,Awakening Herb,(Plant),(Medic. Herb),(Herb),,4,45,20,10,5,10,"Half-Florescent Field,Fragrant Wind Meadow",Grass Element
33,Dried Root,(Plant),(Fuel),(Dried Plant),(Root),2,40,5,0,0,10,"Hidden Paradise,Altugle Herb Garden,Herb Garden-Corridor,Pasture Way,Mountain Way",Fruit Hamster
34,Rich Root,(Plant),(Root),,,9,70,0,10,5,20,Grand Rocky Mountain,Poison Squirrel
35,Flame Root,(Plant),(Gunpowder),(Root),,16,60,35,0,0,15,"Hidden Paradise-Earth,Salt Desert-Mountain",
36,Earth Root,(Plant),(Elixir),(Root),,21,85,0,15,10,50,"Hidden Paradise-Fire,Riesengang-Lower",Bitter Squirrel
37,Cure Fruit,(Food),(Medic. Ing.),(Fruit),,6,50,0,5,20,0,"Hallos Village,Evershade Woods",
38,Ripe Cure Fruit,(Food),(Medic. Ing.),(Fruit),(Fermented),17,75,0,10,30,0,"Hidden Paradise-Water,Oesten Marshland",
39,North Wind Fruit,(Food),(Elixir),(Medic. Ing.),(Fruit),23,65,10,15,25,0,"Hidden Paradise-Wind,Waterfall Island",Green Element
40,Beast Meat,(Food),(Meat),,,9,50,0,5,0,20,Deserted House,"Flesh Eater,Howling Beast,Stray Dog"
