#,Name,Type,Category 1,Category 2,Category 3,Category 4,F,WA,WI,E,Element Value,Gather Location,Drop Monster
1,Bullet Seed,Material,(Grain),(Gunpowder),(Oil),(Spark),X,,,,10,Twilight Forest,Poison Squirrel
2,Wind Flower,Material,(Medic. Ing.),(Plant),,,,,X,,15,Twilight Forest,
3,Earth Flower,Material,(Medic. Ing.),(Plant),,,,,,X,15,Old Highway,Ore Rat
4,Water Flower,Material,(Medic. Ing.),(Plant),,,,X,,,25,Twilight Forest,
5,Fire Flower,Material,(Medic. Ing.),(Plant),,,X,,,,35,Searing Wastes,
6,Bent Screw,Material,(Antique),(Metal),,,,,,X,10,"Twilight Forest, Old Highway",Bad Treasure
7,Rusty Cog,Material,(Antique),(Metal),,,,,X,,15,"Twilight Forest, Old Highway",Bad Treasure
8,Grain Scraps,Material,(Grain),,,,,,,X,15,"Twilight Forest, Old Highway",
9,Antique Stone,Material,(Antique),(Ore),,,,,,X,15,"Old Highway, Ends of the Earth",Fakeruin
10,Scrap Metal,Material,(Antique),(Metal),,,X,,,,15,Old Highway,"Ore Rat, Bad Treasure, Pandora"
11,Mixed Oil,Material,(Fuel),(Liquid),(Smelly),,X,,,,20,Old Highway,
12,Paper Scraps,Material,(Fuel),(Paper),,,,,,X,15,Southern Ruins,Fakeruin
13,Garden Stone,Material,(Mystery),(Ore),,,,X,,,20,Southern Ruins,
14,Pendelock,Material,(Jewel),(Mystery),,,X,,X,,10,"Old Highway, Southern Ruins","Deep Woods Spirit, Mirage Element, Mist Element"
15,Eternal Liquid,Material,(Liquid),(Medic. Ing.),(Smelly),,,X,,,20,Upland Forest,
16,Soul Vine,Material,(Mystery),(Plant),,,,,,X,20,Upland Forest,Bad Sickle
17,Green Soil,Material,(Clay),(Plant),,,,,X,,15,"Twilight Forest, Upland Forest",Green Spirit
18,Crimson Soil,Material,(Clay),(Medic. Ing.),,,X,,,,20,Upland Forest,Red Spirit
19,Ultramarine Soil,Material,(Clay),(Ore),,,,X,,,25,Abandoned River,Blue Spirit
20,Amber Soil,Material,(Clay),(Seasoning),,,,,,X,25,Withering Plains,Yellow Spirit
21,Lethe Grass,Material,(Elixir),(Plant),,,X,,,X,15,Withering Plains,Bad Sickle
22,River Water,Material,(Liquid),(Natural),,,,X,,X,10,Withering Plains,
23,Legged Radish,Material,(Medic. Ing.),(Seasoning),(Vegetable),,X,,,,30,Searing Wastes,
24,Buoyant Gas,Material,(Fuel),(Gas),(Natural),,X,,X,,15,Searing Wastes,
25,Blaze Ore,Material,(Jewel),(Ore),,,X,,,,35,Searing Wastes,Hungry Steel Beast
26,Unburning Web,Material,(Natural),(String),,,,,,X,30,Searing Wastes,Fakeruin
27,Lotus,Material,(Medic. Ing.),(Mystery),(Plant),,,X,,X,15,Abandoned River,
28,Mantis Blade,Material,(Animal),(Meat),(Metal),,X,,X,,20,Slag Graveyard,"Scissor Beast, Flame Scythe, Bad Sickle, Death Scissor"
29,Fairy Soul,Material,(Seasoning),(Synthesis),,,,X,X,,15,,"Green Spirit, Red Spirit, Blue Spirit, Yellow Spirit"
30,Bubbling Water,Material,(Gunpowder),(Liquid),(Smelly),,,X,,X,20,Abandoned River,
31,Slag Antenna,Material,(Ancient Power),(Slag Parts),,,X,,X,,10,Slag Graveyard,"Guard, Watchman, Officer, Flounder"
32,Slag Memory,Material,(Ancient Power),(Metal),,,X,X,,,20,Slag Graveyard,"Fakeruin, Bad Treasure, Black Box, Pandora, Flat Fish, Flounder"
33,Slag Heart,Material,(Meat),(Slag Parts),,,X,,X,X,15,Slag Graveyard,"Carrier, Tracker, Porter, Flat Fish, Flounder"
34,Slag Cable,Material,(Slag Parts),(String),,,,X,,X,15,Slag Graveyard,"Mini-Slag, Nano-Slag, Pico-Slag, Flat Fish"
35,Ancient Jerky,Material,(Meat),(Medic. Ing.),(Seasoning),(Smelly),,X,,X,20,Lab of Eternity,
36,Rough Disk,Material,(Antique),(Metal),(Synthesis),,,,X,X,20,Lab of Eternity,"Pico-Slag, Black Box, Frigate"
37,Bendy Materia,Material,(Fuel),(Gunpowder),(Natural),,X,X,,,15,Lab of Eternity,"Flat Fish, Flounder, Emerald Ray, Fatal Flat"
38,Rot Snake Skin,Material,(Animal),(Fuel),(Skin),,,X,X,X,15,Lab of Eternity,
39,King's Wing,Material,(Dragon),(Feather),(Meat),(Skin),,,X,,40,Ends of the Earth,"Compact Dragon, Goltessen, Rakshasa Dragon"
40,Dragon Fin,Material,(Dragon),(Meat),(String),,X,X,X,,20,Ends of the Earth,
41,Dragon Crystal,Material,(Jewel),(Medic. Ing.),(Mystery),(Smell),X,,X,X,20,Ends of the Earth,"Grand Dragon, Sura Dragon, Rakshasa Dragon, Altegewalt, Dark Elder Dragon"
42,Dragon Core,Material,(Dragon),(Elixir),(Gunpowder),(Ore),X,X,X,X,20,Ends of the Earth,"Rakshasa Dragon, Altegewalt"
43,Drying Sand,Material,(Natural),(Ore),,,,,,X,30,Withering Plains,
44,Junk,Material,(Antique),(Metal),,,,X,,X,10,Ends of the Earth,"Black Box, Pandora"
45,Buried Bomb,Material,(Antique),(Gunpowder),,,X,,,,40,Ends of the Earth,Raging Golem
46,Jet Black Cube,Material,(Ancient Power),(Elixir),(Synthesis),,,X,X,X,20,Ends of the Earth,"Death Scissor, Manic Golem"
47,Sky King Fossil,Material,(Antique),(Ore),(Synthesis),,,,,X,50,Fallen Ruins,Spirit Golem
48,Sky Wasabi,Material,(Plant),(Seasoning),(Smell),(Vegetable),,,X,X,20,Fallen Ruins,
49,Noble Berry,Material,(Fruit),(Seasoning),(Smell),,,X,,X,25,Fallen Ruins,
50,Heaven's Branch,Material,(Fuel),(Lumber),,,X,,X,X,20,Fallen Ruins,
51,Wing Plant,Material,(Feather),(Medic. Ing.),(Plant),,,X,X,X,5,"Searing Wastes, Fallen Ruins",
52,Jelly Gem,Material,(Jewel),(Meat),(Synthesis),,X,X,,X,15,Fallen Ruins,
53,Water Source,Material,(Liquid),(Synthesis),,,,X,,,25,Fallen Ruins,
54,Moon Milk,Material,(Clay),(Ore),,,,X,,X,20,Fallen Ruins,
55,Empty Core,Material,(Ancient Power),(Antique),(Metal),,X,,X,X,25,Lab of Eternity,"Black Box, Blue Fang Saber"
56,Apple,Material,(Apple),(Fruit),(Smell),,,X,,,15,"Colseit, Fallen Ruins",Poison Squirrel
57,Green Apple,Material,(Apple),(Fruit),,,,X,X,,15,Fallen Ruins,Bitter Squirrel
58,Poison Apple,Material,(Apple),(Fruit),(Smelly),,,,,X,25,Abandoned River,"Poison Squirrel, Bitter Squirrel"
59,Golden Apple,Material,(Apple),(Fruit),(Jewel),,X,X,X,X,15,"Lab of Eternity, Fallen Ruins","Golden Rat, Alchemy Rat"
60,Spiky Fruit,Material,(Spark),,,,,,X,,10,Upland Forest,
61,Spiky Bud,Material,(Spark),,,,,X,X,,10,Upland Forest,"Poison Squirrel, Bitter Squirrel"
