Name,Type,Category 1,Category 2,Category 3,Category 4
Taun,Material,(Magic Grass),(Plants),(Medical Materials),
Tall Taun,Material,(Magic Grass),(Plants),(Medical Materials),
Triple Taun,Material,(Magic Grass),(Plants),(Hidden Power),
Mystic Herb,Material,(Magic Grass),(Plants),(Medical Materials),(Hidden Power)
Cobalt Grass,Material,(Plants),(Water),(Aroma),
Winged Plant,Material,(Plants),(Medical Materials),,
Golden Tree Leaf,Material,(Plants),(Medical Materials),,
Uni,Material,(Plants),(Foodstuff),,
Weiss Wheat,Material,(Plants),,,
Moisture Grass,Material,(Plants),(Medical Materials),(Elixirs),
Wild Cotton,Material,(Plants),(Fuel),(Thread),
Princess Grass,Material,(Plants),(Flowers),(Medical Materials),
Red Flower,Material,(Plants),(Flowers),,
Blue Flower,Material,(Plants),(Flowers),(Medical Materials),
Green Flower,Material,(Plants),(Flowers),,
Yellow Flower,Material,(Plants),(Flowers),(Aroma),
Purple Flower,Material,(Plants),(Flowers),(Poison Materials),
Merveille Rouge,Material,(Plants),(Flowers),(Aroma),
Dunkelheit,Material,(Plants),(Flowers),(Medical Materials),(Elixirs)
Star Flower,Material,(Plants),(Flowers),(Hidden Power),
Beehive,Material,(Beehives),(Gunpowder),,
Silver Beehive,Material,(Beehives),(Gunpowder),,
Golden Beehive,Material,(Beehives),(Gunpowder),(Gems),
Candy Beehive,Material,(Beehives),(Sweets),,
Nectar Fruit,Material,(Fruits),(Water),(Aroma),
Starfruit,Material,(Fruits),(Aroma),,
Blackberry,Material,(Fruits),(Medical Materials),,
Snow Queen,Material,(Fruits),(Water),(Hidden Power),
Slime Mushroom,Material,(Fungus),(Oil),,
Fairy Parasol,Material,(Fungus),(Plants),(Foodstuff),
Darkshroom,Material,(Fungus),(Poison Materials),,
Smoke Fungus,Material,(Fungus),(Gas),(Aroma),
Soil Potato,Material,(Foodstuff),(Plants),,
Milk,Material,(Foodstuff),(Water),,
Fresh Meat,Material,(Foodstuff),,,
Beast Meat,Material,(Foodstuff),,,
Unknown Egg,Material,(Foodstuff),,,
Large Egg,Material,(Foodstuff),(Oil),,
Wool,Material,(Animal Materials),(Thread),(Fuel),
Monster Bird Feather,Material,(Animal Materials),(Thread),,
Griffon Feather,Material,(Animal Materials),(Thread),,
Bat Wing,Material,(Animal Materials),(Foodstuff),(Magic Tools),
Turtle Claw,Material,(Animal Materials),(Foodstuff),(Medical Materials),
Animal Hide,Material,(Animal Materials),,,
Tough Bone,Material,(Animal Materials),(Medical Materials),,
Horn,Material,(Animal Materials),(Medical Materials),,
Big Beast Bone,Material,(Animal Materials),,,
Wicked Fang,Material,(Animal Materials),(Poison Materials),,
Jelly Gem,Material,(Animal Materials),(Gems),,
Rabbit Fur,Material,(Animal Materials),(Thread),,
Big Scale,Material,(Animal Materials),(Hidden Power),,
Wicked Bone,Material,(Animal Materials),(Poison Materials),,
Lady Bug,Material,(Insects),,,
Big Horned Beetle,Material,(Insects),(Medical Materials),,
Baby Wilm,Material,(Insects),(Foodstuff),,
Ingot Bug,Material,(Insects),(Metal),,
Leiden Dragonfly,Material,(Insects),,,
Comet Butterfly,Material,(Insects),,,
Chestnut Weevil,Material,(Insects),,,
Helmeted Grasshopper,Material,(Insects),(Foodstuff),,
Killer Bee,Material,(Insects),(Poison Materials),,
Gem Fly,Material,(Insects),(Gems),,
Pretty Shells,Material,(Seafood),(Medical Materials),,
Wascher,Material,(Seafood),(Foodstuff),,
Butterfly Fish,Material,(Seafood),(Foodstuff),,
Camber,Material,(Seafood),(Foodstuff),,
Sea Snail,Material,(Seafood),(Foodstuff),,
Crab,Material,(Seafood),(Foodstuff),,
Lobster,Material,(Seafood),(Foodstuff),,
