Using Item,Item Effect,Resulting Forge Effect,Forge Effect Description
Explosive Uni,Burst,Surprise Smack,Chance for additional knockback on attack.
Explosive Uni,Scatter,Surprise Smack,Chance for additional knockback on attack.
Explosive Uni,Explosive,Terror Crack,Chance for additional knockback on attack.
Ice Caltrop,Cold Pain,Slicing Ice Edge,Chance to inflict Frostbite on attack.
Ice Caltrop,Stinging Pain,Slashing Ice Edge,Chance to inflict Frostbite on attack.
Ice Caltrop,Freezing Pain,Slashing Ice Edge,Chance to inflict Frostbite on attack.
Craft,Physical Damage XS,10 Spikes,Deal a set amount of additional damage on attack.
Craft,Physical Damage S,10 Spikes,Deal a set amount of additional damage on attack.
Craft,Physical Damage M,100 Spikes,Deal a set amount of additional damage on attack.
Craft,Physical Damage L,"1,000 Spikes",Deal a set amount of additional damage on attack.
Bomb,Fire Damage XS,Fire Blessing S,Increase fire damage.
Bomb,Fire Damage S,Fire Blessing S,Increase fire damage.
Bomb,Fire Damage M,Fire Blessing M,Increase fire damage.
Bomb,Crimson Fire,Fire Blessing L,Increase fire damage.
Ice Bomb,Ice Damage XS,Ice Blessing S,Increase ice damage.
Ice Bomb,Ice Damage S,Ice Blessing S,Increase ice damage.
Ice Bomb,Ice Damage M,Ice Blessing M,Increase ice damage.
Ice Bomb,Embracing Ice,Ice Blessing L,Increase ice damage.
Plajig,Lightning Damage XS,Lightning Blessing S,Increase lightning damage.
Plajig,Lightning Damage S,Lightning Blessing S,Increase lightning damage.
Plajig,Lightning Damage M,Lightning Blessing M,Increase lightning damage.
Plajig,Electrified Flash,Lightning Blessing L,Increase lightning damage.
Luft,Wind Damage XS,Wind Blessing S,Increase wind damage.
Luft,Wind Damage S,Wind Blessing S,Increase wind damage.
Luft,Wind Damage M,Wind Blessing M,Increase wind damage.
Luft,Gust Fang,Wind Blessing L,Increase wind damage.
Norden Brand,Roaring Ice Blade,Ice Seal,Chance to reduce ice resistance by 1 level on attack.
Norden Brand,Dancing Ice Blade,Ice Seal,Chance to reduce ice resistance by 1 level on attack.
Norden Brand,Scornful Ice Blade,Ice Seal,Chance to reduce ice resistance by 1 level on attack.
Norden Brand,Bloody Ice Blade,Frost Seal,Chance to reduce ice resistance by 1 level on attack.
Lightning Bell,Booming Order,Lightning Seal,Chance to reduce lightning resistance by 1 level on attack.
Lightning Bell,Thundering Order,Lightning Seal,Chance to reduce lightning resistance by 1 level on attack.
Lightning Bell,Summon Lightning,Lightning Seal,Chance to reduce lightning resistance by 1 level on attack.
Lightning Bell,Summon Thunderbolt,Thunderclap Seal,Chance to reduce lightning resistance by 1 level on attack.
Bubble Bullet,Bubble Bullet,Burst Shell S,Increase skill Stun Gauge effect.
Bubble Bullet,Balloon Bullet,Burst Shell S,Increase skill Stun Gauge effect.
Bubble Bullet,Grenade,Burst Shell M,Increase skill Stun Gauge effect.
Bubble Bullet,Quaking Cannon,Burst Shell L,Increase skill Stun Gauge effect.
Rose Bomb,Fire Damage S,Fire Blessing S,Increase fire damage.
Rose Bomb,Fire Damage M,Fire Blessing M,Increase fire damage.
Rose Bomb,Fire Damage L,Fire Blessing M,Increase fire damage.
Rose Bomb,Fire Damage XL,Fire Blessing L,Increase fire damage.
Rose Bomb,Searing Petal,Fire Blessing XL,Increase fire damage.
