#,Name,Category 1,Category 2,Category 3,Category 4,F,WA,WI,E,Attribute Value,Gather Location,Drop Monster,Disassembles To
1,Star Fruit,(Fruit),(Plant),,,X,,,,10,"Land of Fallen Stars, Lush Valley",Grass Element,
2,Ore Pumpkin,(Plant),,,,X,,,,10,"Crystal Valley, Geofront",,Black Powder
3,Sand Pumpkin,(Fruit),(Plant),(Vegetable),,,,,X,10,"Solice Trade Camp, Lush Valley, Plaza of Great Trees",Bitter Squirrel,
4,Water,(Liquid),(Water),,,,X,,,20,Stellard,,
5,Rich Milk,(Liquid),(Oil),,,,X,,,20,,,
6,Shelbani Wheat,(Grain),(Plant),,,,,X,X,10,"Fertile Sea, Fertile Sea - Eastern Area, Solice Trade Camp",,
7,Palma,(Plant),,,,,,,X,15,"Green Desert, Lush Valley, Plaza of Great Trees",Tree Element,
8,Taun,(Magic Herb),(Medic. Ing.),(Plant),,,,,X,10,"Fertile Sea, Plaza of Great Trees, Hidden Forest","Fruit Hamster, Flower Element",
9,Verdant Taun,(Magic Herb),(Plant),(Vegetable),,,X,,X,15,"Fertile Sea, Heaven's Vine, Geofront",,
10,Mutated Taun,(Elixir),(Magic Herb),(Plant),,,X,X,,10,"Land of the Dead, Herb Garden - Depths, Geofront",,
11,Trio Taun,(Magic Herb),(Medic. Ing.),(Mystery),(Plant),,,,X,35,"Herb Garden, Seat of Eternity, Geofront",,
12,Lentil,(Grain),(Plant),,,,,,X,10,"Fertile Sea - Northern Area, Spine Post, Plaza of Great Trees",,
13,Big Lentil,(Grain),(Oil),(Plant),,,,,X,20,"Heaven's Vine, Altar of Spirits, Geofront",,
14,Umbrella Tree Strawberry,(Aroma),(Fruit),(Plant),,,X,X,,20,"Herb Garden, Herb Garden - Depths, The Furthest Village, Woods of Eternal Night",,
15,Beehive,(Bee Hive),(Fuel),,,,,X,,10,"Fertile Sea, Heaven's Vine, Herb Garden - Depths, Plaza of Great Trees, Hidden Forest",Bears.,
16,Silver Beehive,(Bee Hive),(Fuel),,,X,,X,,15,"Fertile Sea, Heaven's Vine - Root Division, Geofront",,Honey
17,Golden Beehive,(Bee Hive),(Fuel),(Jewel),,X,,X,X,15,"Herb Garden - Depths, Geofront",,Honey
18,Red Clay,(Clay),(Medic. Ing.),,,X,,,,15,"Fertile Sea - Eastern Area, Geofront, Abandoned Factory",Sand Spirit,
19,Blue Clay,(Clay),(Ore),,,,X,,,20,"Land of the Dead, Hill of Silence, Geofront, Sea of Eternity",Dusk Spirit,
20,Green Clay,(Clay),(Plant),,,,,X,,20,"Crystal Valley, Geofront, Hidden Forest, Hole of the Dead",Azure Spirit,
